gene,target_id,cluster
FBgn0263740,FBtr0310387,1
FBgn0264089,FBtr0330730,2
FBgn0264270,FBtr0331254,11
FBgn0264270,FBtr0331259,8
FBgn0264270,FBtr0336727,8
FBgn0264270,FBtr0336729,11
FBgn0264541,FBtr0344699,6
FBgn0264541,FBtr0344700,3
FBgn0264598,FBtr0333527,2
FBgn0264707,FBtr0333956,1
FBgn0264817,FBtr0347597,6
FBgn0264895,FBtr0334847,1
FBgn0264895,FBtr0334848,1
FBgn0265003,FBtr0335513,4
FBgn0265003,FBtr0335516,20
FBgn0265003,FBtr0335517,12
FBgn0265082,FBtr0336809,5
FBgn0265274,FBtr0085350,1
FBgn0265274,FBtr0330306,1
FBgn0265274,FBtr0345207,6
FBgn0265276,FBtr0082533,2
FBgn0265276,FBtr0110876,1
FBgn0265276,FBtr0110877,2
FBgn0265276,FBtr0305186,1
FBgn0265276,FBtr0307082,2
FBgn0265276,FBtr0330170,2
FBgn0265298,FBtr0089898,2
FBgn0265298,FBtr0306252,3
FBgn0265629,FBtr0340490,3
FBgn0266101,FBtr0343559,6
FBgn0266129,FBtr0072458,8
FBgn0266129,FBtr0330231,8
FBgn0266393,FBtr0344334,3
FBgn0266409,FBtr0344358,3
FBgn0266418,FBtr0344405,2
FBgn0266418,FBtr0344406,4
FBgn0266488,FBtr0344533,1
FBgn0266581,FBtr0346345,3
FBgn0266599,FBtr0083056,3
FBgn0266696,FBtr0345085,2
FBgn0266696,FBtr0345108,6
FBgn0266696,FBtr0345113,5
FBgn0266756,FBtr0334286,2
FBgn0266756,FBtr0334288,11
FBgn0267280,FBtr0346496,7
FBgn0267348,FBtr0076382,5
FBgn0267383,FBtr0082838,11
FBgn0267487,FBtr0072716,1
FBgn0267523,FBtr0346897,17
FBgn0267790,FBtr0304684,2
FBgn0267791,FBtr0086219,2
FBgn0267791,FBtr0086222,4
FBgn0268063,FBtr0076793,1
FBgn0268063,FBtr0332144,1
FBgn0278608,FBtr0089259,5
FBgn0283461,FBtr0073073,1
FBgn0283521,FBtr0089344,6
FBgn0283521,FBtr0089362,7
FBgn0283741,FBtr0302655,4
FBgn0283741,FBtr0332901,4
FBgn0284084,FBtr0079432,5
FBgn0284243,FBtr0086537,6
FBgn0286723,FBtr0080591,1
FBgn0286784,FBtr0112906,3
FBgn0286939,FBtr0475217,3
